1.00, 22.00, 22.00, 1.00, 
2.00, 36.00, 26.00, 1.00, 
3.00, 21.00, 45.00, 1.00, 
4.00, 45.00, 35.00, 1.00, 
5.00, 55.00, 20.00, 1.00, 
6.00, 33.00, 34.00, 1.00, 
7.00, 50.00, 50.00, 1.00, 
8.00, 55.00, 45.00, 1.00, 
9.00, 26.00, 59.00, 1.00, 
10.00, 40.00, 66.00, 1.00, 
11.00, 55.00, 65.00, 1.00, 
12.00, 35.00, 51.00, 1.00, 
13.00, 62.00, 35.00, 1.00, 
14.00, 62.00, 57.00, 1.00, 
15.00, 62.00, 24.00, 1.00, 
16.00, 21.00, 36.00, 1.00, 
17.00, 33.00, 44.00, 1.00, 
18.00, 9.00, 56.00, 1.00, 
19.00, 62.00, 48.00, 1.00, 
20.00, 66.00, 14.00, 1.00, 
21.00, 44.00, 13.00, 1.00, 
22.00, 26.00, 13.00, 1.00, 
23.00, 11.00, 28.00, 1.00, 
24.00, 7.00, 43.00, 1.00, 
25.00, 17.00, 64.00, 1.00, 
26.00, 41.00, 46.00, 1.00, 
27.00, 55.00, 34.00, 1.00, 
28.00, 35.00, 16.00, 1.00, 
29.00, 52.00, 26.00, 1.00, 
30.00, 43.00, 26.00, 1.00, 
31.00, 31.00, 76.00, 1.00, 
32.00, 22.00, 53.00, 1.00, 
33.00, 26.00, 29.00, 1.00, 
34.00, 50.00, 40.00, 1.00, 
35.00, 55.00, 50.00, 1.00, 
36.00, 54.00, 10.00, 1.00, 
37.00, 60.00, 15.00, 1.00, 
38.00, 47.00, 66.00, 1.00, 
39.00, 30.00, 60.00, 1.00, 
40.00, 30.00, 50.00, 1.00, 
41.00, 12.00, 17.00, 1.00, 
42.00, 15.00, 14.00, 1.00, 
43.00, 16.00, 19.00, 1.00, 
44.00, 21.00, 48.00, 1.00, 
45.00, 50.00, 30.00, 1.00, 
46.00, 51.00, 42.00, 1.00, 
47.00, 50.00, 15.00, 1.00, 
48.00, 48.00, 21.00, 1.00, 
49.00, 12.00, 38.00, 1.00, 
50.00, 15.00, 56.00, 1.00, 
51.00, 29.00, 39.00, 1.00, 
52.00, 54.00, 38.00, 1.00, 
53.00, 55.00, 57.00, 1.00, 
54.00, 67.00, 41.00, 1.00, 
55.00, 10.00, 70.00, 1.00, 
56.00, 6.00, 25.00, 1.00, 
57.00, 65.00, 27.00, 1.00, 
58.00, 40.00, 60.00, 1.00, 
59.00, 70.00, 64.00, 1.00, 
60.00, 64.00, 4.00, 1.00, 
61.00, 36.00, 6.00, 1.00, 
62.00, 30.00, 20.00, 1.00, 
63.00, 20.00, 30.00, 1.00, 
64.00, 15.00, 5.00, 1.00, 
65.00, 50.00, 70.00, 1.00, 
66.00, 57.00, 72.00, 1.00, 
67.00, 45.00, 42.00, 1.00, 
68.00, 38.00, 33.00, 1.00, 
69.00, 50.00, 4.00, 1.00, 
70.00, 66.00, 8.00, 1.00, 
71.00, 59.00, 5.00, 1.00, 
72.00, 35.00, 60.00, 1.00, 
73.00, 27.00, 24.00, 1.00, 
74.00, 40.00, 20.00, 1.00, 
75.00, 40.00, 37.00, 1.00, 
76.00, 40.00, 40.00, 0.00, 
