0.00, 1.00, 18.00, 
1.00, 2.00, 26.00, 
2.00, 3.00, 11.00, 
3.00, 4.00, 30.00, 
4.00, 5.00, 21.00, 
5.00, 6.00, 19.00, 
6.00, 7.00, 15.00, 
7.00, 8.00, 16.00, 
8.00, 9.00, 29.00, 
9.00, 10.00, 26.00, 
10.00, 11.00, 37.00, 
11.00, 12.00, 16.00, 
12.00, 13.00, 12.00, 
13.00, 14.00, 31.00, 
14.00, 15.00, 8.00, 
15.00, 16.00, 19.00, 
16.00, 17.00, 20.00, 
17.00, 18.00, 13.00, 
18.00, 19.00, 15.00, 
19.00, 20.00, 22.00, 
20.00, 21.00, 28.00, 
21.00, 22.00, 12.00, 
22.00, 23.00, 6.00, 
23.00, 24.00, 27.00, 
24.00, 25.00, 14.00, 
25.00, 26.00, 18.00, 
26.00, 27.00, 17.00, 
27.00, 28.00, 29.00, 
28.00, 29.00, 13.00, 
29.00, 30.00, 22.00, 
30.00, 31.00, 25.00, 
31.00, 32.00, 28.00, 
32.00, 33.00, 27.00, 
33.00, 34.00, 19.00, 
34.00, 35.00, 10.00, 
35.00, 36.00, 12.00, 
36.00, 37.00, 14.00, 
37.00, 38.00, 24.00, 
38.00, 39.00, 16.00, 
39.00, 40.00, 33.00, 
40.00, 41.00, 15.00, 
41.00, 42.00, 11.00, 
42.00, 43.00, 18.00, 
43.00, 44.00, 17.00, 
44.00, 45.00, 21.00, 
45.00, 46.00, 27.00, 
46.00, 47.00, 19.00, 
47.00, 48.00, 20.00, 
48.00, 49.00, 5.00, 
49.00, 50.00, 22.00, 
50.00, 51.00, 12.00, 
51.00, 52.00, 19.00, 
52.00, 53.00, 22.00, 
53.00, 54.00, 16.00, 
54.00, 55.00, 7.00, 
55.00, 56.00, 26.00, 
56.00, 57.00, 14.00, 
57.00, 58.00, 21.00, 
58.00, 59.00, 24.00, 
59.00, 60.00, 13.00, 
60.00, 61.00, 15.00, 
61.00, 62.00, 18.00, 
62.00, 63.00, 11.00, 
63.00, 64.00, 28.00, 
64.00, 65.00, 9.00, 
65.00, 66.00, 37.00, 
66.00, 67.00, 30.00, 
67.00, 68.00, 10.00, 
68.00, 69.00, 8.00, 
69.00, 70.00, 11.00, 
70.00, 71.00, 3.00, 
71.00, 72.00, 1.00, 
72.00, 73.00, 6.00, 
73.00, 74.00, 10.00, 
74.00, 75.00, 20.00, 
